BankofChina,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
,2019-12-23,3.700 ,3.700 ,3.670 ,3.660 ,841476.440 ,-0.030 ,-0.810 ,3.682 ,3.654 ,3.642 ,992027.190 ,887386.790 ,786608.280 
,2019-12-20,3.680 ,3.700 ,3.700 ,3.680 ,679264.060 ,0.010 ,0.270 ,3.678 ,3.649 ,3.641 ,1009459.800 ,868339.470 ,787101.060 
,2019-12-19,3.670 ,3.700 ,3.690 ,3.660 ,796903.810 ,0.020 ,0.550 ,3.668 ,3.641 ,3.637 ,1138806.360 ,848612.750 ,798211.830 
,2019-12-18,3.690 ,3.700 ,3.670 ,3.670 ,852974.500 ,-0.010 ,-0.270 ,3.652 ,3.634 ,3.634 ,1098909.510 ,807923.820 ,794450.250 
,2019-12-17,3.650 ,3.720 ,3.680 ,3.630 ,1789517.120 ,0.030 ,0.820 ,3.640 ,3.627 ,3.631 ,1015506.160 ,783943.310 ,781169.810 
,2019-12-16,3.650 ,3.660 ,3.650 ,3.630 ,928639.500 ,0.000 ,0.000 ,3.626 ,3.620 ,3.629 ,782746.400 ,685102.810 ,732127.810 
,2019-12-13,3.620 ,3.660 ,3.650 ,3.610 ,1325996.880 ,0.040 ,1.110 ,3.620 ,3.617 ,3.627 ,727219.150 ,653804.400 ,724477.760 
,2019-12-12,3.620 ,3.620 ,3.610 ,3.600 ,597419.560 ,0.000 ,0.000 ,3.614 ,3.615 ,3.625 ,558419.130 ,601394.530 ,702934.920 
,2019-12-11,3.620 ,3.620 ,3.610 ,3.610 ,435957.750 ,0.000 ,0.000 ,3.616 ,3.619 ,3.626 ,516938.120 ,594394.110 ,712062.170 
,2019-12-10,3.610 ,3.620 ,3.610 ,3.600 ,625718.310 ,-0.010 ,-0.280 ,3.614 ,3.624 ,3.628 ,552380.450 ,598404.530 ,728895.960 
,2019-12-09,3.630 ,3.630 ,3.620 ,3.610 ,651003.250 ,0.000 ,0.000 ,3.614 ,3.630 ,3.630 ,587459.210 ,685829.760 ,730476.570 
,2019-12-06,3.620 ,3.630 ,3.620 ,3.610 ,481996.780 ,0.000 ,0.000 ,3.614 ,3.633 ,3.631 ,580389.650 ,705862.640 ,748810.360 
,2019-12-05,3.610 ,3.620 ,3.620 ,3.600 ,390014.530 ,0.020 ,0.560 ,3.616 ,3.632 ,3.634 ,644369.930 ,747810.910 ,791365.580 
,2019-12-04,3.600 ,3.610 ,3.600 ,3.600 ,613169.380 ,-0.010 ,-0.280 ,3.622 ,3.633 ,3.640 ,671850.090 ,780976.690 ,815053.970 
,2019-12-03,3.620 ,3.620 ,3.610 ,3.600 ,801112.120 ,-0.010 ,-0.280 ,3.634 ,3.635 ,3.647 ,644428.610 ,778396.310 ,848887.810 
,2019-12-02,3.640 ,3.640 ,3.620 ,3.620 ,615655.440 ,-0.010 ,-0.280 ,3.646 ,3.637 ,3.652 ,784200.310 ,779152.810 ,891612.110 
,2019-11-29,3.650 ,3.650 ,3.630 ,3.620 ,801898.190 ,-0.020 ,-0.550 ,3.652 ,3.637 ,3.656 ,831335.620 ,795151.110 ,919816.490 
,2019-11-28,3.660 ,3.660 ,3.650 ,3.640 ,527415.310 ,-0.010 ,-0.270 ,3.648 ,3.635 ,3.660 ,851251.890 ,804475.300 ,927061.450 
,2019-11-27,3.670 ,3.670 ,3.660 ,3.650 ,476062.000 ,-0.010 ,-0.270 ,3.644 ,3.632 ,3.662 ,890103.290 ,829730.240 ,948202.690 
,2019-11-26,3.660 ,3.680 ,3.670 ,3.640 ,1499970.620 ,0.020 ,0.550 ,3.636 ,3.631 ,3.664 ,912364.000 ,859387.390 ,954918.800 
,2019-11-25,3.610 ,3.660 ,3.650 ,3.610 ,851332.000 ,0.040 ,1.110 ,3.628 ,3.630 ,3.665 ,774105.300 ,775123.380 ,920737.350 
,2019-11-22,3.630 ,3.640 ,3.610 ,3.610 ,901479.500 ,-0.020 ,-0.550 ,3.622 ,3.629 ,3.668 ,758966.600 ,791758.080 ,921709.450 
